

Time: 2018-05-29 20:45:44,Temperature: 26.10 ℃ ,Humidity: 48.00 % ,Pressure: 100660.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 20:45:58,Temperature: 26.00 ℃ ,Humidity: 52.00 % ,Pressure: 100664.00 hPa ,Illuminance: 55.00 lx
Time: 2018-05-29 20:55:58,Temperature: 26.20 ℃ ,Humidity: 52.00 % ,Pressure: 100658.00 hPa ,Illuminance: 55.42 lx
Time: 2018-05-29 21:05:59,Temperature: 26.50 ℃ ,Humidity: 55.00 % ,Pressure: 100668.00 hPa ,Illuminance: 55.42 lx
Time: 2018-05-29 21:15:59,Temperature: 26.30 ℃ ,Humidity: 56.00 % ,Pressure: 100681.00 hPa ,Illuminance: 55.42 lx
Time: 2018-05-29 21:25:59,Temperature: 26.00 ℃ ,Humidity: 60.00 % ,Pressure: 100701.00 hPa ,Illuminance: 54.17 lx
Time: 2018-05-29 21:36:00,Temperature: 26.00 ℃ ,Humidity: 59.00 % ,Pressure: 100724.00 hPa ,Illuminance: 53.75 lx
Time: 2018-05-29 21:46:00,Temperature: 26.20 ℃ ,Humidity: 54.00 % ,Pressure: 100736.00 hPa ,Illuminance: 55.42 lx
Time: 2018-05-29 21:56:00,Temperature: 26.30 ℃ ,Humidity: 58.00 % ,Pressure: 100759.00 hPa ,Illuminance: 53.75 lx
Time: 2018-05-29 22:06:01,Temperature: 25.80 ℃ ,Humidity: 60.00 % ,Pressure: 100777.00 hPa ,Illuminance: 53.75 lx
Time: 2018-05-29 22:16:01,Temperature: 25.70 ℃ ,Humidity: 58.00 % ,Pressure: 100780.00 hPa ,Illuminance: 54.17 lx
Time: 2018-05-29 22:26:01,Temperature: 25.80 ℃ ,Humidity: 57.00 % ,Pressure: 100776.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 22:36:02,Temperature: 25.40 ℃ ,Humidity: 63.00 % ,Pressure: 100778.00 hPa ,Illuminance: 57.08 lx
Time: 2018-05-29 22:46:02,Temperature: 25.20 ℃ ,Humidity: 60.00 % ,Pressure: 100764.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 22:56:02,Temperature: 25.50 ℃ ,Humidity: 57.00 % ,Pressure: 100762.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 23:06:03,Temperature: 25.10 ℃ ,Humidity: 63.00 % ,Pressure: 100751.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 23:16:03,Temperature: 25.40 ℃ ,Humidity: 57.00 % ,Pressure: 100754.00 hPa ,Illuminance: 54.58 lx
Time: 2018-05-29 23:26:03,Temperature: 25.60 ℃ ,Humidity: 60.00 % ,Pressure: 100758.00 hPa ,Illuminance: 0.83 lx
Time: 2018-05-29 23:36:04,Temperature: 26.10 ℃ ,Humidity: 110.00 % ,Pressure: 100746.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-29 23:46:04,Temperature: 26.40 ℃ ,Humidity: 53.00 % ,Pressure: 100748.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-29 23:56:05,Temperature: 26.60 ℃ ,Humidity: 52.00 % ,Pressure: 100744.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 00:06:05,Temperature: 26.70 ℃ ,Humidity: 52.00 % ,Pressure: 100750.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 00:16:05,Temperature: 26.90 ℃ ,Humidity: 52.00 % ,Pressure: 100739.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 00:26:06,Temperature: 27.00 ℃ ,Humidity: 52.00 % ,Pressure: 100734.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 00:36:06,Temperature: 27.10 ℃ ,Humidity: 154.00 % ,Pressure: 100736.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 00:46:06,Temperature: 27.20 ℃ ,Humidity: 154.00 % ,Pressure: 100720.00 hPa ,Illuminance: 0.83 lx
Time: 2018-05-30 00:56:07,Temperature: 27.20 ℃ ,Humidity: 154.00 % ,Pressure: 100702.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:06:07,Temperature: 27.30 ℃ ,Humidity: 52.00 % ,Pressure: 100696.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:16:07,Temperature: 27.40 ℃ ,Humidity: 154.00 % ,Pressure: 100693.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:26:08,Temperature: 27.50 ℃ ,Humidity: 153.00 % ,Pressure: 100704.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:36:08,Temperature: 27.60 ℃ ,Humidity: 153.00 % ,Pressure: 100698.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:46:08,Temperature: 27.60 ℃ ,Humidity: 52.00 % ,Pressure: 100692.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 01:56:09,Temperature: 27.70 ℃ ,Humidity: 51.00 % ,Pressure: 100693.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 02:06:09,Temperature: 27.70 ℃ ,Humidity: 49.00 % ,Pressure: 100684.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 02:16:09,Temperature: 27.80 ℃ ,Humidity: 51.00 % ,Pressure: 100692.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 02:26:10,Temperature: 27.80 ℃ ,Humidity: 51.00 % ,Pressure: 100674.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 02:36:10,Temperature: 27.80 ℃ ,Humidity: 51.00 % ,Pressure: 100671.00 hPa ,Illuminance: 0.83 lx
Time: 2018-05-30 02:46:10,Temperature: 27.90 ℃ ,Humidity: 51.00 % ,Pressure: 100676.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 02:56:11,Temperature: 27.90 ℃ ,Humidity: 153.00 % ,Pressure: 100676.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 03:06:11,Temperature: 28.00 ℃ ,Humidity: 153.00 % ,Pressure: 100676.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 03:16:11,Temperature: 28.00 ℃ ,Humidity: 51.00 % ,Pressure: 100668.00 hPa ,Illuminance: 0.42 lx
Time: 2018-05-30 03:26:12,Temperature: 28.00 ℃ ,Humidity: 153.00 % ,Pressure: 100671.00 hPa ,Illuminance: 0.42 lx
